Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
126,448400; 1,590500; 1,540500; 1,607600; 1,859500; 3,147400; 2,474300; 2,180900; 
125,860000; 1,563300; 1,531800; 1,579300; 1,851900; 3,139800; 2,445900; 2,490500; 
126,826400; 1,564500; 1,521700; 1,573000; 1,856400; 3,187400; 2,431600; 2,196700; 
126,640200; 1,594100; 1,511500; 1,582900; 1,880100; 3,272200; 2,466500; 2,179600; 
126,699900; 1,556600; 1,538200; 1,697200; 1,867100; 3,144800; 2,492100; 2,168000; 
127,104500; 1,603200; 1,516900; 1,569200; 1,866100; 3,143900; 2,474500; 2,217100; 
126,660400; 1,569900; 1,544500; 1,580100; 1,850200; 3,155000; 2,456700; 2,218200; 
127,489800; 1,602700; 1,548200; 1,626800; 1,876200; 3,407100; 2,464600; 2,184700; 
124,484900; 1,563300; 1,518200; 1,577600; 1,861300; 3,188800; 2,478300; 2,194700; 
126,483000; 1,568100; 1,503400; 1,565400; 1,901600; 3,227500; 2,524400; 2,216800; 
127,658700; 1,575600; 1,513300; 1,587300; 1,859300; 3,193700; 2,473200; 2,166800; 
127,101900; 1,608600; 1,505800; 1,639400; 1,879800; 3,182900; 2,463600; 2,187200; 
127,144000; 1,562700; 1,573700; 1,618000; 1,955900; 3,152100; 2,485300; 2,098100; 
127,942000; 1,575200; 1,543000; 1,592600; 1,868000; 3,148500; 2,464400; 2,136500; 
125,244100; 1,577900; 1,522600; 1,580000; 1,879200; 3,139100; 2,479200; 2,270100; 
126,077600; 1,545800; 1,498900; 1,603400; 1,873500; 3,170800; 2,429200; 2,270500; 
126,075300; 1,660300; 1,547600; 1,646000; 1,855900; 3,170400; 2,450800; 2,232300; 
127,662600; 1,559300; 1,534700; 1,591600; 1,872400; 3,421800; 2,526700; 2,210700; 
128,019300; 1,649400; 1,652500; 1,911300; 2,143700; 3,409500; 2,642800; 2,278500; 
129,194800; 1,588100; 1,532500; 1,592300; 1,880000; 3,138700; 2,493100; 2,162200; 
128,135800; 1,581800; 1,506100; 1,586600; 1,883100; 3,192800; 2,576800; 2,182400; 
126,114000; 1,550600; 1,524100; 1,582300; 1,909500; 3,196600; 2,451900; 2,213100; 
123,967700; 1,534300; 1,495400; 1,534200; 1,822500; 3,239200; 2,384100; 2,130200; 
126,317600; 1,571400; 1,511100; 1,593900; 2,050100; 3,205200; 2,461300; 2,229500; 
126,572700; 1,578100; 1,548000; 1,579100; 1,868200; 3,136700; 2,512000; 2,228200; 
128,026100; 1,556100; 1,545700; 1,584100; 1,886500; 3,187600; 2,498500; 2,168100; 
126,096600; 1,549700; 1,506000; 1,596700; 1,903700; 3,267200; 2,442100; 2,118100; 
124,883300; 1,568900; 1,521400; 1,584200; 1,870800; 3,343300; 2,750600; 2,168500; 
127,542700; 1,575500; 1,530500; 1,580800; 1,856600; 3,143100; 2,449600; 2,151000; 
124,273000; 1,568800; 1,655800; 1,619000; 1,876100; 3,134800; 2,433300; 2,134300; 
126,054500; 1,564000; 1,586700; 1,593300; 1,896800; 3,134100; 2,421900; 2,152600; 
128,395300; 1,601200; 1,540900; 1,579400; 1,876600; 3,184300; 2,439600; 2,164700; 
131,395600; 1,581700; 1,529500; 1,580600; 1,872600; 3,349500; 2,469600; 2,201300; 
145,648900; 1,578000; 1,517100; 1,642000; 1,895300; 3,145700; 2,414800; 2,171200; 
126,975900; 1,568100; 1,522100; 1,606500; 1,862800; 3,143700; 2,445800; 2,174800; 
127,443700; 1,652800; 1,540300; 1,632200; 1,882600; 3,149200; 2,435000; 2,182400; 
125,226400; 1,542400; 1,468200; 1,552500; 1,818700; 3,061000; 2,461400; 2,238900; 
126,866900; 1,558100; 1,517400; 1,572900; 1,862200; 3,159000; 2,490800; 2,141400; 
125,164100; 1,545100; 1,508500; 1,590400; 1,900400; 3,137600; 2,547300; 2,113400; 
125,480800; 1,612300; 1,540100; 1,598700; 1,922000; 3,403600; 2,492000; 2,200700; 
