Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
0,059400; 382,794800; 398,879100; 0,715200; 1,591500; 3,460000; 0,779900; 0,493700; 
0,059300; 380,931400; 403,007900; 0,644700; 1,585700; 3,462900; 0,779200; 0,489300; 
0,059300; 386,841600; 409,155000; 0,665300; 1,823100; 3,572000; 0,796400; 0,505900; 
0,059400; 386,861300; 405,952300; 0,664500; 1,672500; 4,050900; 0,801600; 0,502300; 
0,059300; 382,523900; 410,657900; 0,665600; 1,640000; 3,648000; 0,801200; 0,508100; 
0,059400; 386,928500; 413,505900; 0,660100; 1,661500; 3,561100; 0,793200; 0,507000; 
0,059300; 389,905600; 409,532700; 0,666400; 1,669000; 3,587100; 0,796000; 0,507000; 
0,060600; 386,034100; 407,351100; 0,665300; 1,704500; 3,573400; 0,795800; 0,505900; 
0,059400; 385,157700; 405,472700; 0,748000; 1,716300; 3,551900; 0,795900; 0,509200; 
0,059800; 385,950100; 410,508500; 0,661600; 1,642000; 3,708700; 0,795000; 0,501600; 
0,059700; 387,993700; 405,370500; 0,660900; 1,543200; 3,627700; 0,795300; 0,510200; 
0,059400; 385,952400; 411,361600; 0,670100; 1,539800; 3,599600; 0,795300; 0,511600; 
0,059400; 384,580800; 404,654700; 0,664200; 1,514200; 3,563000; 0,839800; 0,516100; 
0,059300; 383,750700; 405,481700; 0,659100; 1,555400; 3,549000; 0,797100; 0,504600; 
0,059300; 388,084100; 407,124500; 0,668200; 1,517000; 3,570500; 0,802400; 0,501800; 
0,069100; 383,766700; 400,385700; 0,645900; 1,794700; 3,485100; 1,173600; 0,729900; 
0,059400; 383,478800; 407,161300; 0,659800; 1,855900; 3,562300; 0,796800; 0,509500; 
0,087500; 386,178900; 405,824500; 0,661000; 1,617900; 3,554000; 0,795500; 0,500900; 
0,059800; 384,495000; 408,130200; 0,667900; 1,647700; 3,553200; 0,800700; 0,502100; 
0,059300; 385,342500; 405,539300; 0,666700; 1,681000; 3,536100; 0,792000; 0,508900; 
0,059400; 384,873200; 403,306200; 0,646300; 1,720200; 3,464900; 0,775100; 0,493400; 
0,059700; 383,284300; 405,733700; 0,671700; 1,694900; 3,552700; 0,795100; 0,511100; 
0,059900; 383,714000; 409,756700; 0,647700; 2,433100; 3,525200; 0,771300; 0,493300; 
0,059500; 387,113800; 406,456700; 0,667000; 1,638100; 3,569200; 0,801200; 0,503600; 
0,064900; 385,486300; 404,824300; 0,660400; 1,524300; 3,754400; 0,792700; 0,509000; 
0,059600; 389,831500; 407,295300; 0,664600; 1,516900; 3,571200; 0,791700; 0,508200; 
0,059400; 384,131100; 409,005100; 0,673400; 1,531000; 3,565500; 0,798900; 0,510000; 
0,059400; 383,422300; 402,451900; 0,654100; 1,489200; 3,471600; 0,776200; 0,494200; 
0,059400; 382,489800; 405,300800; 0,659400; 1,440700; 3,552000; 0,796300; 0,504600; 
0,059400; 384,784200; 405,537600; 0,664800; 1,700800; 3,550100; 0,797600; 0,548300; 
0,059700; 386,625500; 407,788500; 0,668200; 1,606600; 3,713500; 0,784700; 0,505500; 
0,059500; 384,329300; 412,196100; 0,701400; 1,604000; 3,574100; 0,793900; 0,501800; 
0,059300; 384,985600; 404,386500; 0,665700; 1,617700; 3,558000; 0,798400; 0,502000; 
0,059200; 384,199400; 404,887200; 0,662500; 1,704200; 3,549100; 0,794800; 0,514000; 
0,059500; 386,606200; 404,861500; 0,670900; 1,734700; 3,565000; 1,054900; 0,508200; 
0,059300; 384,172700; 407,753100; 0,676300; 1,705700; 3,645600; 0,813500; 0,514300; 
0,060300; 384,623300; 403,778600; 0,864400; 1,889300; 3,701400; 0,776800; 0,497300; 
0,059600; 385,466100; 398,196700; 0,644500; 1,603400; 3,467200; 0,774300; 0,495900; 
0,059400; 381,661500; 399,867900; 0,647000; 1,577900; 3,694400; 0,787300; 0,492900; 
0,059300; 382,824800; 400,291800; 0,665500; 1,535600; 3,697700; 0,803200; 0,505500; 
