Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
102,249100; 1358,860900; 705,758500; 2,404900; 4,057600; 8,710500; 3,382500; 2,659300; 
102,488200; 1340,239700; 701,809200; 2,330200; 4,114000; 8,359800; 3,366900; 2,677700; 
101,663100; 1349,536900; 698,865000; 2,334000; 3,935700; 8,566700; 3,445000; 2,598500; 
103,573000; 1343,035700; 700,190200; 2,408800; 4,142500; 8,603100; 3,457800; 3,096500; 
104,104700; 1341,535200; 697,601300; 2,417800; 4,212000; 8,548500; 3,532800; 2,658500; 
103,231500; 1340,946300; 700,150200; 2,360200; 4,181200; 8,744000; 3,420600; 2,679900; 
107,368200; 1341,628800; 704,208200; 2,333200; 3,952100; 9,068300; 3,416700; 2,652200; 
103,410200; 1339,949400; 701,726600; 2,528700; 3,802900; 8,348100; 3,491100; 2,738200; 
102,531200; 1346,200400; 701,455100; 2,364100; 3,984900; 9,036700; 3,339400; 2,686100; 
104,430300; 1342,458900; 700,800700; 2,330700; 3,971500; 8,546400; 3,382600; 2,628900; 
104,796700; 1341,841900; 699,228400; 2,528500; 4,112400; 8,586600; 3,539200; 2,728700; 
104,509200; 1340,387000; 701,503100; 2,467300; 3,881100; 8,350600; 3,538100; 2,627100; 
103,100000; 1356,204800; 707,706200; 2,435400; 4,081800; 8,550800; 3,572400; 2,696600; 
102,976400; 1351,925900; 701,833000; 2,350000; 4,019200; 8,498500; 3,342500; 2,639600; 
103,567100; 1345,478900; 701,834600; 2,426600; 4,200600; 8,351900; 3,415300; 2,647500; 
103,400600; 1345,021900; 700,186900; 2,394000; 4,002700; 9,232900; 3,422300; 2,667800; 
102,346400; 1342,603200; 699,378500; 2,406600; 4,051700; 8,688500; 3,452300; 2,659200; 
103,233900; 1342,353900; 707,921200; 2,430100; 4,230100; 8,847800; 3,626700; 2,813600; 
105,138400; 1349,141100; 706,378700; 2,552400; 4,086400; 8,683500; 3,428800; 2,711800; 
103,452800; 1345,110300; 699,601200; 2,366300; 4,088400; 8,441900; 3,344400; 2,608000; 
102,747000; 1356,250400; 699,782600; 2,327600; 3,979500; 8,599600; 3,378200; 2,619400; 
103,374400; 1344,754800; 698,490100; 2,486200; 3,881800; 8,550500; 3,492700; 2,662200; 
102,605700; 1352,744900; 707,677000; 2,314500; 3,971500; 8,380600; 3,648900; 2,630900; 
102,903200; 1337,719500; 698,737800; 2,380200; 4,243500; 8,337600; 3,409000; 2,654100; 
102,364700; 1338,219900; 701,830800; 2,367400; 4,341100; 8,411700; 3,430300; 2,697200; 
101,751800; 1340,236400; 696,388200; 2,337900; 4,092800; 8,347900; 3,388500; 2,717700; 
103,978300; 1343,778600; 698,633000; 2,415700; 4,035000; 8,364700; 3,823800; 2,701500; 
103,198500; 1350,545400; 698,249600; 2,408200; 4,031900; 8,593200; 3,454700; 2,677000; 
105,284600; 1339,769900; 697,817000; 2,349800; 4,085400; 8,347700; 3,456000; 2,657600; 
103,670400; 1338,237500; 704,788400; 2,432900; 4,203200; 8,620600; 3,509900; 2,744400; 
103,610300; 1339,054200; 699,820000; 2,341200; 4,119300; 8,683700; 3,342200; 2,621300; 
102,585600; 1337,882700; 705,811300; 2,416200; 4,183900; 8,699300; 3,443000; 2,657300; 
101,201300; 1341,246400; 699,833600; 2,510400; 3,755100; 8,725600; 3,432600; 2,664000; 
102,808900; 1344,136700; 700,230800; 2,331800; 4,057300; 8,333000; 3,341000; 2,801500; 
102,250800; 1335,870000; 696,174900; 2,563700; 4,175900; 8,341400; 3,463100; 2,614600; 
103,264900; 1339,411700; 698,293200; 2,344500; 4,104500; 8,443400; 3,355000; 2,660200; 
102,643800; 1348,283600; 703,036600; 2,398000; 3,924400; 8,346000; 3,524600; 2,692100; 
102,680300; 1341,507900; 705,500100; 2,330600; 3,985600; 8,544400; 3,451900; 2,717900; 
103,091300; 1339,127900; 699,168400; 2,611100; 3,845800; 8,400300; 3,517100; 2,734300; 
103,562400; 1337,435400; 701,993400; 2,349700; 4,032200; 8,580400; 3,393200; 2,619300; 
