Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
221,197200; 2,096500; 2,107800; 2,128100; 2,613400; 4,784500; 3,453900; 2,964600; 
224,923400; 2,166900; 2,114100; 2,104600; 2,539900; 4,247600; 4,042700; 3,067400; 
225,112600; 2,075300; 2,044300; 2,124400; 2,483200; 4,615800; 3,725500; 2,879800; 
226,428400; 2,283800; 2,191200; 2,223400; 2,583500; 4,366100; 3,640900; 3,063600; 
226,148500; 2,135300; 2,225500; 2,184900; 2,573600; 4,450300; 3,531800; 3,107200; 
225,412100; 2,162000; 2,092300; 2,188900; 2,624100; 4,425800; 3,617000; 3,020900; 
226,293100; 2,150900; 2,083600; 2,179400; 2,529500; 4,599800; 3,525600; 2,990400; 
227,674100; 2,182100; 2,076600; 2,152900; 2,552400; 4,523700; 3,616800; 3,037500; 
225,879900; 2,141500; 2,108900; 2,161100; 2,531400; 4,481900; 3,687000; 3,137800; 
224,050100; 2,182900; 2,117800; 2,182300; 2,573500; 4,379800; 3,518400; 3,121600; 
228,651500; 2,147600; 2,291000; 2,188800; 2,589000; 4,398200; 3,561800; 3,308600; 
225,078400; 2,152400; 2,083300; 2,171800; 2,662000; 4,443400; 3,578800; 3,005000; 
222,236100; 2,180500; 2,035900; 2,126500; 2,491000; 4,624400; 3,601800; 3,020700; 
223,319300; 2,131400; 2,150200; 2,217500; 2,530800; 4,352700; 3,588400; 3,050300; 
223,582200; 2,141400; 2,113500; 2,163200; 2,544400; 4,592700; 3,563200; 2,953600; 
223,796900; 2,913100; 2,146300; 2,128500; 2,477200; 4,438300; 3,841500; 3,001700; 
224,371300; 2,089600; 2,161900; 2,284400; 2,609800; 4,282700; 3,463800; 3,414600; 
223,506200; 2,098100; 2,049900; 2,306600; 2,596700; 4,336800; 3,864900; 3,102500; 
223,066700; 2,143600; 2,078600; 2,159100; 2,539300; 4,988400; 3,596000; 3,160300; 
224,497800; 2,151300; 2,095000; 2,118300; 2,501500; 4,439600; 4,138000; 3,120600; 
221,931800; 2,085600; 2,044200; 2,495400; 2,549600; 4,401000; 3,538400; 3,002900; 
223,878200; 2,135100; 2,097700; 2,155700; 2,550800; 4,485800; 3,619400; 2,962300; 
221,768900; 2,220700; 2,107500; 2,161200; 2,540200; 4,632500; 3,642500; 3,031400; 
225,642800; 2,162300; 2,086900; 2,275200; 2,539200; 4,386400; 3,563600; 3,094400; 
224,777700; 2,131500; 2,088400; 2,175800; 2,536100; 4,539900; 3,508300; 2,953500; 
226,294900; 2,206100; 2,252900; 2,204400; 2,539300; 4,386200; 3,721800; 2,978700; 
228,275400; 2,181700; 2,113600; 2,181600; 2,543100; 4,533200; 4,566400; 3,093100; 
232,531400; 2,132300; 2,093600; 2,167400; 2,529400; 4,511500; 3,586100; 3,042900; 
223,825800; 2,095200; 2,139100; 2,088100; 2,570500; 4,280400; 3,574600; 3,043200; 
228,819800; 2,165200; 2,064700; 2,169300; 2,544200; 4,360400; 3,579600; 3,037800; 
225,659600; 2,124800; 2,215300; 2,239400; 2,541000; 4,339100; 3,526400; 3,392400; 
234,269400; 2,154400; 2,131200; 2,146400; 2,578000; 4,487800; 3,799500; 2,987100; 
225,034600; 2,193800; 2,154300; 2,175200; 2,591400; 4,364400; 3,519400; 3,077300; 
224,818200; 2,102900; 2,039500; 2,101000; 3,036400; 4,589400; 3,492400; 2,967200; 
223,381200; 2,126600; 2,072400; 2,159100; 2,549300; 4,541000; 3,606900; 2,988400; 
228,279800; 2,091100; 2,325800; 2,325900; 2,524800; 4,538400; 3,508600; 3,068900; 
224,659000; 2,173800; 2,088900; 2,172400; 2,561100; 4,338200; 3,550500; 3,084600; 
225,274100; 2,082500; 2,343100; 2,161500; 2,579800; 4,247300; 3,517700; 3,131500; 
225,365600; 2,140500; 2,119600; 2,166300; 2,672000; 4,408100; 3,598700; 2,934800; 
225,480900; 2,132900; 2,022400; 2,119200; 2,507100; 4,501300; 3,372700; 3,011000; 
