Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
510,451100; 3,355400; 3,383600; 3,407000; 3,984700; 6,909600; 5,629400; 5,068900; 
517,071700; 3,466500; 3,423400; 3,759200; 3,991700; 7,071200; 6,131100; 5,000200; 
529,310500; 3,351800; 3,276800; 3,551300; 4,588500; 7,527300; 5,760000; 5,151800; 
513,909100; 3,539500; 3,324200; 3,467300; 4,017900; 7,591100; 5,897600; 4,938400; 
529,762700; 3,562000; 3,245800; 3,349600; 3,973200; 7,272900; 5,460300; 4,919100; 
513,231600; 3,510100; 3,254200; 3,409300; 3,978800; 6,833500; 5,545000; 4,726200; 
499,002400; 3,237700; 3,164100; 3,554300; 3,821100; 6,627800; 5,672800; 4,758800; 
503,719100; 3,281100; 3,347600; 3,663800; 3,908000; 6,672700; 5,613500; 4,808500; 
500,241400; 3,237500; 3,285800; 3,249800; 3,851900; 6,663200; 5,458900; 4,681100; 
499,987800; 3,250100; 3,251000; 3,296000; 3,845400; 6,641700; 5,553100; 4,616200; 
503,182400; 3,229700; 3,378000; 3,272500; 3,837800; 6,888900; 5,397600; 4,775000; 
500,863200; 3,367100; 3,316100; 3,354600; 3,947200; 6,854500; 5,584000; 4,848500; 
501,973600; 3,238400; 3,346300; 3,277200; 3,828200; 6,724700; 5,349600; 4,777400; 
509,236500; 3,312000; 3,216100; 3,408100; 3,919100; 6,819500; 5,492100; 4,722200; 
496,792800; 3,307400; 3,153300; 3,280700; 3,882900; 6,918800; 5,432000; 4,793100; 
498,048600; 3,261700; 3,190000; 3,392300; 3,874400; 6,638800; 5,482400; 4,923100; 
508,245800; 3,490600; 3,253400; 3,365000; 3,966400; 6,842700; 5,534300; 4,794700; 
502,469100; 3,421800; 3,205600; 3,304400; 3,833900; 6,748700; 5,432800; 4,636000; 
505,076900; 3,441800; 3,266600; 3,402800; 4,001000; 6,894500; 5,463200; 4,875700; 
500,632400; 3,548800; 3,159700; 3,436600; 3,882000; 6,803900; 5,334700; 4,694300; 
497,699800; 3,331600; 3,257700; 3,411700; 3,883800; 6,665400; 5,602400; 4,698600; 
498,981000; 3,236600; 3,181900; 3,281100; 3,905800; 6,733100; 5,395100; 4,846000; 
502,929700; 3,353300; 3,250500; 3,387900; 3,966400; 6,799700; 5,483900; 4,700000; 
504,636500; 3,258100; 3,191300; 3,525000; 3,927400; 6,667300; 5,480900; 4,647800; 
501,126900; 3,306200; 3,179100; 3,869400; 4,133500; 6,651100; 5,499700; 4,822600; 
500,364400; 3,302000; 3,218400; 3,292000; 4,012300; 6,630800; 5,417700; 4,755300; 
496,775000; 3,261800; 3,160000; 3,273600; 3,866400; 6,873600; 5,324000; 4,696700; 
495,752500; 3,238300; 3,143800; 3,427200; 3,845800; 6,662200; 5,714900; 4,733200; 
499,338200; 3,261300; 3,173100; 3,286000; 4,045600; 6,658700; 5,364900; 4,742100; 
496,569900; 3,265500; 3,181200; 3,276700; 3,967700; 6,639200; 5,482700; 4,790000; 
501,364200; 3,272400; 3,166700; 3,279000; 3,922700; 6,748800; 5,336300; 4,739200; 
496,488000; 3,271300; 3,253400; 3,280500; 3,814700; 6,646900; 6,168100; 4,655800; 
499,830000; 3,245900; 3,355500; 3,287300; 3,840800; 6,632800; 5,556600; 4,721400; 
499,827800; 3,250500; 3,172100; 3,365500; 3,821500; 6,627100; 5,608500; 4,741900; 
501,373700; 3,260400; 3,187800; 3,335200; 3,898300; 6,662400; 5,512100; 4,761300; 
502,868300; 3,338200; 3,619200; 3,368300; 3,955400; 6,848600; 5,366500; 4,899500; 
503,377500; 3,317100; 3,164600; 3,315400; 4,087600; 6,670000; 5,320800; 4,847400; 
501,133300; 3,332800; 3,232200; 3,353400; 3,996900; 6,758300; 5,395100; 4,837400; 
515,179400; 4,040200; 3,912600; 4,074400; 4,278400; 6,919500; 5,464100; 4,921800; 
507,860000; 3,246000; 3,182400; 3,253700; 4,890200; 6,631800; 5,556000; 4,992200; 
