Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
57,921000; 753,511900; 397,734500; 1,713200; 3,114200; 6,082500; 2,355700; 1,891600; 
58,772800; 756,446400; 394,302400; 1,705200; 2,946400; 6,901600; 2,361300; 1,855000; 
57,705100; 759,009800; 393,376200; 1,694100; 2,937200; 6,055000; 2,356600; 2,055700; 
57,594200; 756,226200; 392,309300; 1,708500; 2,893600; 6,257200; 2,394200; 1,927900; 
58,720700; 753,317500; 395,373000; 1,775500; 3,027900; 6,122200; 2,414500; 2,081800; 
58,094500; 759,321500; 398,057600; 1,690100; 2,811400; 6,108100; 2,372400; 1,968500; 
58,295500; 759,576000; 397,035800; 1,749400; 3,004000; 6,246600; 2,420900; 1,850300; 
57,799400; 757,063700; 390,388300; 1,724500; 2,935600; 6,084500; 2,388800; 1,912300; 
58,148300; 757,002300; 393,732100; 1,716300; 2,931000; 6,134800; 2,341000; 1,866300; 
56,704600; 753,029000; 392,513600; 1,708500; 3,237700; 6,182600; 2,346200; 1,853400; 
58,186200; 753,881400; 395,489200; 1,706600; 2,957900; 6,066000; 2,628900; 1,850700; 
58,592200; 754,850300; 393,405800; 1,803300; 3,008000; 6,052900; 2,363300; 1,846500; 
57,150200; 755,952000; 396,409300; 1,752700; 3,048200; 6,279000; 2,385400; 1,941900; 
58,110200; 755,115300; 396,187800; 1,695000; 3,026100; 6,098900; 2,457000; 1,882300; 
57,509400; 761,371500; 394,852300; 1,758200; 2,859000; 6,225000; 2,369100; 1,869100; 
57,721800; 756,533300; 396,688500; 1,696600; 2,798100; 6,361500; 2,375300; 1,887100; 
57,205400; 754,590000; 392,345900; 1,770000; 2,915400; 6,413400; 2,376400; 1,883200; 
58,218300; 758,798500; 393,816100; 1,714100; 3,120200; 6,234200; 2,382900; 1,931100; 
57,260400; 751,879500; 393,663400; 1,745000; 3,016400; 6,464900; 2,344400; 1,889900; 
57,350100; 753,739300; 397,713100; 1,768800; 2,961400; 6,334900; 2,397000; 1,895800; 
57,577600; 753,905900; 394,530500; 1,705500; 2,945000; 6,061700; 2,370900; 2,168700; 
57,306200; 761,858200; 392,269100; 1,742700; 3,227800; 6,065400; 2,357700; 1,877500; 
57,365800; 761,726000; 394,085000; 1,703600; 2,997100; 6,141100; 2,464800; 2,158300; 
58,824000; 761,634400; 403,286900; 1,766200; 2,987700; 6,215500; 2,455300; 1,917300; 
59,167800; 760,768800; 395,410100; 1,705100; 2,909600; 6,077600; 2,354600; 1,909300; 
57,869400; 757,893300; 392,275500; 1,700800; 2,828800; 6,408200; 2,351100; 1,864000; 
56,925300; 759,104700; 393,599400; 1,719900; 3,005800; 6,226700; 2,361300; 2,137400; 
58,359600; 759,688400; 392,047500; 1,693400; 2,929300; 6,153500; 2,368800; 1,881900; 
58,806900; 758,978000; 391,730200; 1,718400; 2,901200; 6,292200; 2,333600; 1,876200; 
57,077600; 751,784600; 393,995100; 1,690700; 2,910100; 7,352100; 2,377700; 1,872000; 
58,730600; 765,234100; 402,867600; 1,735100; 3,226100; 6,219500; 2,410700; 1,905700; 
58,585200; 759,943300; 393,430500; 1,701200; 2,986700; 6,117000; 2,355800; 1,858900; 
57,576000; 755,200400; 392,231200; 1,699900; 2,894400; 6,089300; 2,406200; 1,899400; 
57,244500; 757,341000; 394,044800; 1,885900; 2,787500; 6,082600; 2,330300; 1,893800; 
58,702900; 754,593100; 396,879500; 1,755700; 2,880800; 6,244800; 2,419000; 1,954400; 
58,501500; 753,603000; 391,353400; 1,767200; 2,762100; 6,099100; 2,360600; 1,873900; 
57,888100; 754,034100; 391,159100; 1,712400; 2,962600; 6,407600; 2,341100; 1,898400; 
57,830000; 755,035600; 392,080000; 1,790300; 2,961400; 6,053900; 2,358300; 1,879900; 
58,014600; 753,880600; 395,695300; 1,769000; 2,979500; 6,581000; 2,394900; 1,949700; 
58,549800; 757,510600; 396,346900; 1,713600; 2,983000; 6,377700; 2,339000; 1,867700; 
