Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
0,178800; 3467,863700; 3669,752600; 2,144300; 5,559200; 12,449900; 2,590000; 1,725700; 
0,178700; 3457,172500; 3667,669600; 2,146500; 5,658100; 11,724100; 2,568900; 1,703400; 
0,186400; 3463,143300; 3704,361700; 2,218500; 4,983100; 11,935100; 2,586600; 1,706900; 
0,178100; 3631,275200; 3668,762700; 2,238800; 4,928300; 11,627200; 2,585100; 1,662400; 
0,178000; 3463,329400; 3673,206000; 2,256300; 5,329700; 11,826500; 2,588500; 1,726700; 
0,250000; 3601,409700; 3680,581400; 2,144400; 4,893700; 11,867800; 2,574600; 1,701500; 
0,196200; 3511,281600; 3700,762900; 2,144500; 5,444100; 12,048600; 2,573800; 1,707000; 
0,183600; 3479,448900; 3686,573100; 2,144900; 4,927300; 11,877500; 2,569100; 1,708500; 
0,187700; 3488,109700; 3686,122500; 2,139300; 5,237100; 11,830500; 2,585000; 1,822600; 
0,179100; 3480,891700; 3719,241500; 2,138800; 5,315900; 11,903900; 2,568800; 1,705100; 
0,185600; 3482,921200; 3706,148100; 2,140700; 4,846600; 11,775800; 2,567700; 1,762400; 
0,179700; 3464,564500; 3715,661600; 2,465900; 5,759500; 15,158100; 2,904600; 2,043300; 
0,210900; 3470,650800; 3644,895000; 2,164600; 5,109100; 11,608000; 2,496000; 1,661100; 
0,186200; 3452,999100; 3652,063100; 2,386300; 5,419700; 11,934400; 2,663600; 1,704300; 
0,179300; 3503,945400; 3807,740500; 2,157500; 5,193000; 11,725700; 2,573400; 2,001100; 
0,181000; 3474,550900; 3697,594800; 2,157900; 5,425900; 11,812600; 2,686000; 1,706800; 
0,185700; 3459,608300; 3670,095000; 2,363000; 5,149700; 11,906700; 2,574700; 1,712100; 
0,184400; 3464,963500; 3679,933400; 2,174300; 5,191400; 11,714700; 2,574900; 1,700400; 
0,178300; 3453,801200; 3669,353600; 2,141900; 4,979700; 11,690300; 2,669000; 1,703100; 
0,230700; 3463,810700; 3645,226800; 2,140700; 5,539100; 11,687300; 2,625400; 1,700700; 
0,178500; 3432,804600; 3633,008600; 2,086300; 5,377800; 11,592100; 2,554600; 1,660400; 
0,173700; 3432,040200; 3632,834300; 2,139300; 5,076900; 12,255900; 2,658000; 1,707500; 
0,186500; 3432,422300; 3644,496800; 2,116800; 5,276400; 11,691600; 2,529100; 1,664600; 
0,179100; 3441,295800; 3639,482900; 2,139900; 5,664200; 11,735700; 2,588600; 1,705600; 
0,187200; 3427,449200; 3632,641200; 2,160800; 4,922600; 11,681800; 2,610300; 1,703800; 
0,178100; 3433,638200; 3636,666000; 2,142900; 5,116600; 11,725100; 2,581900; 1,700400; 
0,186500; 3450,337500; 3630,429100; 2,089800; 4,877200; 11,498700; 2,511000; 1,658700; 
0,235500; 3432,166700; 3633,232100; 2,168000; 5,404600; 12,082600; 2,582500; 1,707100; 
0,178000; 3458,684100; 3625,397500; 2,097600; 5,336500; 11,623200; 2,794700; 1,660600; 
0,192500; 3429,730100; 3632,957000; 2,091300; 4,928100; 11,630100; 2,508100; 1,659600; 
0,178200; 3435,193000; 3639,826600; 2,143400; 5,281200; 11,989900; 2,568500; 1,703900; 
0,178200; 3431,801200; 3633,385200; 2,160500; 5,236800; 11,678100; 2,645400; 1,696900; 
0,185300; 3444,544800; 3639,048700; 2,164200; 4,999000; 11,672900; 2,767900; 1,698000; 
0,186000; 3426,778300; 3635,108000; 2,140200; 5,256100; 11,739800; 2,591500; 1,701800; 
0,178300; 3433,893700; 3625,986300; 2,142500; 5,273900; 11,742800; 2,571300; 1,713200; 
0,178400; 3474,139300; 3715,923300; 2,170300; 5,623900; 11,826300; 2,583200; 1,734700; 
0,178900; 3476,223600; 3798,711600; 2,302900; 5,873200; 12,294600; 2,623400; 1,763000; 
0,179000; 3507,167600; 3668,532800; 2,223000; 5,165200; 11,740100; 2,591400; 1,705800; 
0,187400; 3462,373700; 3688,041800; 2,141600; 5,813200; 12,007800; 2,571700; 1,707300; 
0,189600; 3489,484000; 3696,820000; 2,171300; 5,474000; 12,003900; 2,591300; 1,707400; 
