Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
227,755500; 2,211300; 2,153500; 2,390300; 2,637300; 4,448800; 3,662100; 3,220100; 
234,847800; 2,167000; 2,110700; 2,248700; 2,631900; 4,820700; 3,558900; 3,165100; 
230,972900; 2,201700; 2,165500; 2,286400; 2,966500; 4,501600; 3,693700; 3,265800; 
233,153600; 2,375000; 2,170500; 2,256200; 2,641900; 4,497300; 3,810500; 3,191000; 
231,790000; 2,247100; 2,202500; 2,279100; 2,624700; 4,629900; 3,740700; 3,210800; 
232,308500; 2,247800; 2,172700; 2,261600; 2,957900; 4,462100; 3,661300; 3,243000; 
237,706100; 2,204700; 2,154600; 2,242300; 2,630900; 4,738300; 3,661100; 3,178900; 
231,391800; 2,262000; 2,173400; 2,389800; 2,612200; 4,493100; 3,662800; 3,250000; 
227,611900; 2,202700; 2,306900; 2,298100; 2,651100; 4,523200; 3,711500; 3,282300; 
228,994500; 2,270100; 2,146000; 2,252500; 2,652300; 4,486100; 3,589400; 3,295500; 
230,020800; 2,242800; 2,171200; 2,255700; 2,610400; 4,808700; 3,687200; 3,181500; 
231,099600; 2,207700; 2,283700; 2,260700; 3,100800; 4,569200; 3,637900; 3,263800; 
235,824400; 2,221500; 2,179900; 2,245700; 2,621300; 4,607200; 3,660000; 3,155700; 
242,956000; 2,257500; 2,197400; 2,239700; 2,645200; 4,545800; 3,703500; 3,230400; 
234,084100; 2,202700; 2,190700; 2,213200; 2,738200; 4,464300; 3,719500; 3,159100; 
227,510300; 2,220400; 2,239400; 2,251500; 2,622100; 4,498900; 3,672900; 3,233100; 
227,380700; 2,217400; 2,177900; 2,577700; 2,675100; 4,514900; 3,587600; 3,199800; 
227,322800; 2,206500; 2,101400; 2,557500; 2,589700; 4,429300; 3,542600; 3,214000; 
227,107100; 2,166100; 2,138400; 2,268600; 2,783700; 4,378300; 3,604500; 3,245400; 
227,081100; 2,210500; 2,191500; 2,425100; 2,603600; 4,395800; 3,583800; 3,145900; 
226,774200; 2,247600; 2,587400; 2,477900; 2,728900; 4,494600; 3,716700; 3,696500; 
245,104800; 2,245100; 2,174100; 2,256100; 2,654300; 4,610400; 3,663200; 3,321200; 
233,773900; 2,204600; 2,169400; 2,293500; 2,655700; 4,454900; 3,690800; 3,117100; 
228,661700; 2,238700; 2,164500; 2,558400; 2,591600; 4,364200; 3,589500; 3,081100; 
229,757300; 2,306600; 2,418400; 2,285500; 2,556800; 4,380800; 3,561600; 3,503600; 
226,495000; 2,660200; 2,200600; 2,203300; 2,591600; 4,399200; 3,619200; 3,576500; 
231,169800; 2,248100; 2,184100; 2,248100; 2,652800; 5,037800; 3,817200; 3,268600; 
226,167400; 2,213100; 2,158000; 2,227200; 2,665300; 4,777900; 3,762000; 3,241200; 
228,957000; 2,212500; 2,140100; 2,267000; 2,698600; 4,524800; 3,662400; 3,172400; 
230,411200; 2,224400; 2,153600; 2,356300; 2,639700; 4,482500; 3,731200; 3,303700; 
231,619200; 2,258300; 2,192300; 2,228300; 2,616200; 4,504200; 3,731800; 3,142500; 
229,475300; 2,246700; 2,184700; 2,232900; 2,624200; 4,448900; 3,724100; 3,170600; 
228,590500; 2,231100; 2,114400; 2,230600; 2,629900; 4,549900; 3,733600; 3,180400; 
230,174600; 2,195700; 2,250100; 2,283900; 2,608700; 4,477800; 3,681300; 3,231300; 
225,289100; 2,500100; 2,325000; 2,193200; 2,678400; 4,489900; 4,053700; 3,285300; 
227,715900; 2,269200; 2,146200; 2,232900; 2,626900; 4,452400; 3,683000; 3,265700; 
228,368400; 2,291000; 2,102800; 2,167700; 2,547600; 5,068700; 4,004200; 3,189200; 
228,165800; 2,384800; 2,120900; 2,190300; 2,625000; 4,615000; 3,723800; 3,212700; 
226,651300; 2,194000; 2,257700; 2,238200; 2,555800; 4,859500; 3,662800; 3,118200; 
226,290500; 2,214300; 2,229000; 2,245700; 2,622100; 4,791500; 3,678900; 3,094400; 
