Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
16,054100; 208,020900; 99,781400; 0,846500; 1,499900; 3,353400; 1,171800; 0,928800; 
14,909000; 206,932100; 99,092800; 0,837600; 1,243100; 2,986000; 1,121900; 0,921500; 
15,304400; 205,730500; 99,558500; 0,867900; 1,231100; 2,991000; 1,113300; 0,964600; 
15,234200; 203,810600; 102,258000; 0,835400; 1,433800; 2,992500; 1,123800; 0,909700; 
14,897500; 204,139100; 98,914300; 0,843000; 1,314800; 3,124100; 1,153400; 0,916100; 
14,665900; 202,447800; 100,789500; 0,838800; 1,262400; 2,989100; 1,123300; 0,935600; 
14,527300; 199,566700; 98,160800; 0,843200; 1,278100; 2,983000; 1,130900; 0,923200; 
15,163700; 204,652500; 98,916400; 0,848400; 1,228300; 2,987000; 1,122900; 0,925000; 
15,342400; 204,828600; 99,554100; 0,842300; 1,216600; 3,076200; 1,132700; 0,922900; 
14,826800; 203,410300; 99,316400; 0,843800; 1,413200; 3,055800; 1,217700; 0,917400; 
18,078000; 204,108000; 99,347300; 0,850100; 1,380700; 2,980600; 1,113800; 0,955700; 
15,044300; 205,047600; 98,465700; 0,835900; 1,373100; 2,972200; 1,125700; 0,905100; 
15,428000; 203,029100; 98,509800; 0,843300; 1,319200; 2,983500; 1,117800; 0,911500; 
15,455100; 202,797900; 99,504900; 0,856900; 1,366700; 2,977400; 1,123500; 0,916700; 
15,168000; 204,986100; 98,272500; 0,945000; 1,348200; 2,986200; 1,132900; 0,918300; 
14,828300; 204,391800; 99,321300; 0,845600; 1,402900; 2,982100; 1,129300; 0,906400; 
14,749300; 201,154900; 100,014400; 0,847200; 1,341200; 3,250900; 1,119900; 0,926100; 
15,063300; 204,862600; 99,423800; 0,841200; 1,294100; 3,132300; 1,147500; 0,921500; 
15,107900; 205,167700; 100,033500; 0,841800; 1,304700; 3,194200; 1,129800; 0,920000; 
14,999300; 204,667400; 98,728400; 0,848900; 1,410200; 2,978800; 1,117300; 0,911800; 
15,116500; 201,831800; 98,954100; 0,855100; 1,318700; 2,979200; 1,119000; 0,993300; 
14,936600; 201,272800; 98,879900; 0,853000; 1,323800; 2,989100; 1,145400; 0,918200; 
15,029400; 203,292600; 99,827500; 0,833600; 1,386500; 2,975500; 1,128500; 0,911800; 
15,221800; 206,840300; 97,883900; 0,821300; 1,371800; 2,963400; 1,120800; 0,934600; 
14,835300; 205,894400; 99,820500; 0,845900; 1,374700; 3,071300; 1,124300; 0,907100; 
15,859600; 205,786000; 99,610200; 0,841400; 1,448200; 3,059400; 1,127200; 0,928100; 
14,817900; 200,296500; 98,879000; 0,843100; 1,322300; 3,069900; 1,125800; 0,921400; 
15,022900; 202,403000; 99,529800; 0,835400; 1,382900; 3,016500; 1,136600; 0,928300; 
16,167600; 205,201700; 99,155700; 0,858300; 1,272800; 3,031500; 1,123900; 0,922200; 
14,668600; 205,741900; 100,134600; 0,842200; 1,287700; 2,981200; 1,140900; 0,900400; 
14,814000; 205,379600; 99,023100; 0,837900; 1,325600; 2,984900; 1,125900; 0,917100; 
15,245400; 204,808600; 99,110000; 0,841300; 1,358500; 2,983600; 1,123700; 0,908500; 
14,811400; 204,744100; 99,246100; 0,835600; 1,293000; 3,005800; 1,119800; 0,921600; 
14,902200; 201,480200; 100,255700; 0,836900; 1,282800; 3,017700; 1,232700; 0,931500; 
15,201600; 205,051900; 100,525000; 1,118600; 1,699600; 4,009400; 1,147600; 0,914300; 
16,070900; 216,254000; 99,981500; 0,833700; 1,274100; 3,023700; 1,149800; 0,935100; 
16,854800; 205,774300; 99,720300; 0,830800; 1,199000; 3,023600; 1,127600; 0,910200; 
15,210800; 206,255500; 100,033300; 0,833700; 1,195300; 3,063700; 1,221300; 0,915700; 
15,008500; 203,733400; 99,642100; 0,841500; 1,277900; 2,985200; 1,112300; 0,911800; 
15,357100; 204,794800; 99,300200; 0,834400; 1,243300; 2,974500; 1,121500; 0,963400; 
