Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
128,386400; 1,656000; 1,576800; 1,676500; 1,949800; 3,226200; 2,543300; 2,258800; 
130,207700; 1,626200; 1,550500; 1,649700; 1,927800; 3,239400; 2,648500; 2,350100; 
128,074700; 1,618800; 1,584800; 1,782400; 1,920000; 3,239800; 2,576200; 2,277600; 
127,088600; 1,595500; 1,576500; 1,640500; 1,923100; 3,243300; 2,573700; 2,274500; 
127,847700; 1,621400; 1,575100; 1,630900; 1,926100; 3,297700; 2,529600; 2,304600; 
127,997500; 1,938900; 1,588600; 1,656000; 1,935700; 3,282000; 2,547100; 2,307900; 
128,292100; 1,616100; 1,566400; 1,643800; 1,926800; 3,230900; 2,582100; 2,263600; 
126,944000; 1,632600; 1,597800; 1,732600; 1,963800; 3,314900; 2,563000; 2,331200; 
129,986700; 1,615200; 1,583600; 1,629500; 1,938300; 3,257400; 2,513800; 2,420000; 
127,983500; 1,601700; 1,560100; 1,629800; 1,926800; 3,339000; 2,521200; 2,258000; 
129,374600; 1,602100; 1,581400; 1,746000; 1,924900; 3,249800; 2,546100; 2,275100; 
127,935300; 1,638100; 1,579500; 1,635200; 1,949600; 3,248600; 2,633400; 2,300500; 
128,946900; 1,613700; 1,575000; 1,649300; 2,034700; 3,226600; 2,516000; 2,327000; 
129,162400; 1,763400; 1,576200; 1,640500; 1,914200; 3,452300; 2,749800; 2,900100; 
128,196700; 1,609300; 1,572700; 1,629700; 1,920400; 3,420700; 2,583100; 2,236700; 
129,179700; 1,612200; 1,573800; 1,716700; 1,948800; 3,239200; 2,527600; 2,565700; 
129,797700; 1,597100; 1,676800; 1,666500; 1,840800; 3,201500; 2,462900; 2,483400; 
128,811000; 1,638300; 1,567900; 1,642000; 1,946400; 3,429600; 2,504900; 2,218600; 
132,551900; 1,687300; 1,562000; 1,648200; 1,935500; 3,268500; 2,541000; 2,430000; 
129,690200; 1,636300; 1,614700; 1,648200; 1,931200; 3,486800; 2,532000; 2,341600; 
130,896500; 1,633200; 1,568400; 1,649800; 1,929100; 3,235300; 2,523000; 2,503700; 
129,594100; 1,735700; 1,569800; 1,672200; 2,077000; 3,278400; 2,585600; 2,280600; 
128,416300; 1,616300; 1,564100; 1,658700; 1,926800; 3,230400; 2,651600; 2,268900; 
128,805100; 1,655200; 1,568900; 1,636900; 1,936500; 3,570900; 2,697900; 2,286000; 
128,137200; 1,636300; 1,561300; 1,708600; 1,921500; 3,263300; 2,557000; 2,266700; 
128,167500; 1,624200; 1,572900; 1,623200; 1,920100; 3,244700; 2,683300; 2,319400; 
130,504600; 1,654200; 1,596000; 1,726800; 1,921300; 3,244400; 2,512000; 2,309400; 
130,423000; 1,626300; 1,598100; 1,656100; 1,926800; 3,246100; 2,560400; 2,365800; 
129,085800; 1,601600; 1,571100; 1,642100; 1,905500; 3,345700; 2,542800; 2,278800; 
129,940700; 1,624600; 1,568900; 1,641000; 1,927200; 3,238400; 2,545700; 2,391000; 
127,373200; 1,598600; 1,575700; 1,652200; 1,923500; 3,265200; 2,548800; 2,287300; 
128,376400; 1,662200; 1,587000; 1,632500; 1,919800; 3,259100; 2,541500; 2,474100; 
129,502600; 1,673600; 1,625900; 1,625000; 2,462000; 3,323500; 2,544700; 2,465500; 
130,083400; 1,663100; 1,574800; 1,639300; 1,930800; 3,252100; 2,684000; 2,344100; 
127,506500; 1,603200; 1,584100; 1,698100; 1,897900; 3,238000; 2,546400; 2,235900; 
130,386200; 1,644700; 1,620900; 1,629800; 1,925800; 3,246700; 2,629100; 2,269200; 
127,545300; 1,595700; 1,556300; 1,631900; 1,938400; 3,392800; 2,584400; 2,358700; 
128,569900; 1,723300; 1,698000; 1,634200; 1,932200; 3,251900; 2,542300; 2,315600; 
128,047800; 1,633800; 1,587300; 1,628700; 1,947000; 3,311800; 2,563300; 2,312700; 
131,036600; 1,583400; 1,755900; 1,626000; 1,937400; 3,263000; 2,505800; 2,263800; 
