Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
0,059900; 406,536100; 394,288900; 0,743000; 1,371500; 3,553700; 0,796000; 0,503800; 
0,060000; 406,438700; 393,964300; 0,650600; 1,362600; 3,546500; 0,798000; 0,508100; 
0,060000; 409,896300; 396,703600; 0,670200; 1,476900; 3,622700; 0,817400; 0,609900; 
0,059900; 406,958600; 396,675500; 0,648200; 1,294500; 3,532300; 0,797700; 0,506900; 
0,060100; 408,583800; 394,889800; 0,659100; 1,276900; 3,530600; 0,801400; 0,503800; 
0,060000; 403,496100; 393,735400; 0,653600; 1,467500; 3,536600; 0,900000; 0,500400; 
0,071800; 405,776100; 402,556800; 0,660100; 1,227400; 3,598900; 0,795600; 0,499900; 
0,060000; 405,563200; 395,168000; 0,659500; 1,391600; 3,525200; 0,795900; 0,511900; 
0,059800; 407,020400; 399,589500; 0,669600; 1,173900; 3,604600; 1,000400; 0,529100; 
0,059900; 408,238100; 395,462400; 0,673300; 1,305000; 3,625900; 0,821900; 0,519800; 
0,059700; 404,534500; 399,526200; 0,695200; 1,327600; 3,673300; 0,818000; 0,518500; 
0,059800; 406,564400; 403,975900; 0,650100; 1,381700; 3,522400; 0,793700; 0,507200; 
0,059900; 408,161900; 401,947900; 0,671100; 1,406600; 3,606600; 0,819800; 0,520100; 
0,060100; 410,400700; 398,599600; 0,699200; 1,509000; 3,616500; 0,827900; 0,518400; 
0,059800; 410,695900; 401,830800; 0,681100; 1,387200; 3,647800; 0,818600; 0,526800; 
0,060500; 411,597700; 400,020800; 0,671600; 1,434100; 3,623600; 0,817400; 0,516800; 
0,060000; 411,932900; 400,232900; 0,666900; 1,358700; 3,610000; 0,816100; 0,524300; 
0,060100; 410,609800; 395,352300; 0,739600; 1,408700; 3,532900; 0,802400; 0,507600; 
0,059800; 406,385200; 403,053600; 0,668000; 1,439600; 3,611900; 0,817700; 0,520200; 
0,059800; 409,038600; 401,420300; 0,668300; 1,590800; 3,608600; 0,813900; 0,523400; 
0,059400; 410,752100; 401,011100; 0,677600; 1,286900; 3,677400; 0,822200; 0,516300; 
0,059900; 405,719400; 395,236200; 0,652500; 1,225800; 3,521700; 0,807100; 0,507200; 
0,059700; 409,946300; 400,259900; 0,695400; 1,226100; 3,634800; 1,028300; 0,581000; 
0,067600; 408,194300; 402,890500; 0,898700; 1,581600; 5,384700; 1,263500; 0,797000; 
0,183600; 410,432700; 396,670100; 0,652200; 1,132700; 3,515600; 0,800000; 0,506400; 
0,059800; 407,632400; 396,225400; 0,653800; 1,284400; 3,672000; 0,804600; 0,504100; 
0,059900; 402,343900; 398,423800; 0,740600; 1,411300; 3,537800; 0,806100; 0,509500; 
0,072400; 401,187100; 395,113900; 0,711700; 1,409900; 3,611100; 0,817800; 0,520300; 
0,060000; 405,552000; 395,956300; 0,660800; 1,372800; 3,521800; 0,797100; 0,508500; 
0,059900; 404,662100; 393,803600; 0,676200; 1,386600; 3,516900; 0,796500; 0,505900; 
0,067200; 403,073700; 395,799800; 0,651200; 1,327300; 3,517100; 0,795700; 0,510900; 
0,112400; 409,892400; 396,142500; 0,657400; 1,320200; 3,624000; 0,815100; 0,509400; 
0,058300; 404,739900; 394,668200; 0,657100; 1,337900; 3,525100; 0,793900; 0,510200; 
0,067800; 401,978700; 393,472500; 0,653000; 1,282700; 3,517600; 0,799500; 0,504400; 
0,059700; 410,685300; 395,764200; 0,828000; 1,150300; 3,609300; 0,817100; 0,519700; 
0,059800; 410,731700; 401,373300; 0,670300; 1,154000; 3,625300; 0,821700; 0,515900; 
0,059800; 406,651500; 398,032200; 0,678500; 1,213500; 3,715400; 0,815000; 0,520300; 
0,059800; 407,054300; 395,655900; 0,655400; 1,212400; 3,588100; 0,822900; 0,516600; 
0,059800; 405,549900; 394,387300; 0,669200; 1,390400; 3,607000; 0,818400; 0,516000; 
0,059700; 409,381900; 393,300000; 0,655300; 1,351600; 3,518000; 0,797200; 0,506900; 
