Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
517,042700; 3,464500; 3,363000; 3,497700; 4,128000; 6,995200; 5,700200; 5,220500; 
513,658800; 3,505700; 3,340200; 3,510100; 4,118800; 6,942500; 5,609800; 5,034600; 
512,536700; 3,321500; 3,260400; 3,467600; 3,942200; 6,957600; 5,524500; 4,988700; 
513,697500; 3,620300; 3,368600; 3,487100; 3,924100; 7,241100; 5,545400; 5,251100; 
504,589500; 3,405600; 3,261800; 3,734800; 3,944600; 6,823400; 6,354400; 5,022600; 
513,824300; 3,420100; 3,345200; 3,631300; 4,020500; 6,842700; 5,637700; 5,103400; 
506,286800; 3,499200; 3,328500; 3,444300; 4,046000; 7,160900; 5,657400; 5,141700; 
503,999500; 3,375700; 3,276300; 3,404900; 4,168900; 6,860100; 5,881900; 4,921100; 
513,479900; 3,353100; 3,248200; 3,470600; 3,961100; 6,841900; 5,692600; 4,902700; 
515,992400; 3,495600; 3,389800; 3,568100; 4,102000; 7,003000; 5,932800; 5,154600; 
514,605300; 3,519300; 3,350200; 3,528000; 4,057300; 7,166500; 5,662600; 5,065100; 
517,689000; 3,390500; 3,284900; 3,348000; 3,955200; 7,300100; 5,506200; 5,221200; 
515,831100; 3,504000; 3,393600; 3,549100; 4,084900; 7,011400; 5,714300; 5,094000; 
511,672100; 3,376400; 3,295200; 3,582200; 3,988800; 6,847600; 5,798900; 5,163800; 
516,609200; 3,507300; 3,366600; 3,668200; 4,056500; 6,997400; 5,779200; 5,120400; 
511,862900; 3,470300; 3,366500; 3,943800; 4,110000; 6,986000; 5,891400; 5,034400; 
508,657100; 3,365500; 3,251200; 3,414000; 4,194200; 6,819000; 5,489800; 5,065100; 
511,342700; 3,487100; 3,353500; 3,476700; 4,072000; 7,123500; 5,696100; 5,127400; 
518,425900; 3,421800; 3,380000; 3,697900; 4,058500; 6,996200; 5,722500; 5,089400; 
512,813700; 3,443900; 3,473500; 3,480500; 4,043300; 7,080400; 5,701600; 5,114600; 
512,001900; 3,471600; 3,331700; 3,714400; 4,084200; 7,040600; 5,827100; 5,188800; 
516,048800; 3,674600; 3,339100; 3,626400; 4,105400; 7,234300; 5,647000; 5,443900; 
515,213900; 3,626800; 3,307600; 3,459500; 4,049300; 7,149600; 5,729700; 5,212900; 
514,829600; 3,346400; 3,270900; 3,416600; 4,229700; 6,832100; 5,536000; 5,294900; 
508,116800; 3,529600; 3,316500; 3,427200; 3,935700; 6,965000; 5,459200; 4,929700; 
512,214100; 3,653500; 3,343400; 3,510600; 4,054000; 7,064800; 5,706700; 5,234800; 
512,585700; 3,465100; 3,577200; 3,479700; 4,079600; 7,154200; 5,707000; 5,006000; 
515,313700; 3,468200; 3,608400; 3,519400; 4,242500; 7,067900; 6,034300; 5,145900; 
526,781200; 3,624000; 3,404100; 3,499300; 4,066200; 7,858500; 5,680000; 5,166800; 
515,267600; 3,471900; 3,358600; 3,482900; 4,102300; 7,088800; 5,658100; 5,217800; 
517,785700; 3,488200; 3,365800; 3,537200; 4,185800; 7,032500; 5,629500; 5,116600; 
513,920400; 3,509400; 3,247300; 3,360000; 3,967400; 6,967900; 5,476900; 5,129200; 
512,303000; 3,489100; 3,376300; 3,480600; 4,048900; 7,078100; 5,664100; 5,016000; 
518,328000; 3,454200; 3,395600; 3,466000; 4,305400; 7,073300; 5,808900; 5,187400; 
520,040500; 3,494900; 3,441300; 3,470600; 4,071000; 7,127100; 5,660700; 5,112000; 
513,179900; 3,505800; 3,356100; 3,444100; 4,059500; 7,092700; 5,677100; 5,142400; 
514,765800; 3,455100; 3,370600; 3,511400; 4,090500; 6,990700; 5,661800; 5,159500; 
514,510500; 3,485400; 3,587700; 3,535900; 4,093200; 7,124700; 5,725500; 5,169700; 
529,518500; 3,453200; 3,354200; 4,152300; 4,077300; 7,298000; 5,590600; 5,062700; 
514,573300; 3,443100; 3,360400; 3,511900; 4,063600; 6,985400; 5,711000; 5,090300; 
