Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
408,333400; 889,607900; 177,424500; 3,473600; 4,934300; 9,322200; 5,858300; 4,748400; 
406,417700; 882,640700; 174,487800; 3,544300; 4,458200; 9,573700; 5,644800; 4,777300; 
408,994100; 886,403800; 176,771000; 3,648900; 4,677000; 9,536300; 5,896900; 4,940700; 
408,336800; 876,554200; 175,457400; 3,501800; 4,495800; 9,292700; 5,712600; 4,810400; 
410,147900; 884,105700; 175,280200; 3,632300; 4,587100; 9,796700; 5,770800; 4,863600; 
407,827700; 882,635400; 175,248400; 3,635800; 4,512800; 9,301400; 5,899600; 4,792600; 
404,637700; 876,317200; 174,975600; 3,497000; 4,539700; 9,655400; 5,746300; 4,883100; 
415,815700; 901,194600; 177,614000; 3,515300; 4,525500; 9,659500; 5,740600; 4,691600; 
414,671000; 890,960800; 178,182700; 3,512200; 4,609100; 9,457700; 5,607800; 4,656200; 
413,460600; 888,592100; 176,407600; 3,725600; 4,476800; 9,433600; 5,594000; 4,769800; 
403,933100; 884,931900; 175,399900; 3,696100; 4,632300; 9,459800; 5,635200; 4,736500; 
408,743700; 886,154400; 176,746500; 3,521600; 4,366800; 9,463900; 5,658600; 4,815500; 
408,506700; 875,488500; 175,165700; 3,663900; 4,444300; 9,652800; 5,574200; 4,803100; 
406,951400; 874,000900; 176,452900; 3,581500; 4,470400; 9,285100; 5,741600; 4,771100; 
408,359800; 870,638000; 174,158000; 3,601800; 4,508600; 9,514100; 5,602800; 4,707700; 
409,469300; 883,858600; 177,332900; 3,568700; 4,518100; 9,417700; 5,666200; 4,805800; 
404,939800; 876,418200; 176,725800; 3,687800; 4,500100; 9,335500; 5,710000; 4,767200; 
414,550800; 903,545200; 179,127400; 3,581600; 4,610300; 9,511500; 5,959300; 4,882500; 
411,748500; 898,251900; 178,235300; 3,617700; 4,491500; 9,540000; 5,793600; 4,913000; 
408,475000; 894,058400; 178,138000; 3,587800; 4,448800; 9,835100; 5,770800; 4,873300; 
411,023700; 899,764300; 175,028900; 3,564900; 4,562800; 9,274600; 6,914200; 4,802000; 
408,495800; 881,847700; 179,945700; 3,529600; 4,658000; 9,573800; 5,798100; 5,002300; 
424,501900; 895,479400; 175,271500; 3,623300; 4,521800; 9,837700; 5,841200; 4,945800; 
409,631100; 882,867700; 175,837800; 3,504700; 4,514800; 9,496200; 5,733600; 4,820600; 
409,674400; 883,484400; 174,167300; 3,553000; 4,633500; 9,307100; 5,828900; 4,912500; 
406,933000; 891,552000; 177,932800; 4,127300; 4,586500; 9,609700; 5,697500; 4,902400; 
410,331100; 882,917500; 178,706800; 3,619400; 4,568500; 9,560000; 5,842100; 4,895400; 
434,836800; 888,880700; 176,663400; 3,634300; 4,503000; 9,547400; 5,784100; 4,973000; 
407,050300; 883,019800; 174,547100; 3,492600; 4,511600; 9,342800; 5,701500; 4,726200; 
413,128000; 882,554800; 177,416000; 3,607400; 4,685200; 9,539200; 6,348900; 5,297500; 
403,138700; 884,911000; 173,719600; 3,536900; 4,672900; 9,294000; 5,867600; 4,690600; 
404,966500; 877,715300; 175,361900; 3,535500; 4,780000; 9,390600; 5,630400; 4,901400; 
403,204600; 884,308800; 174,615000; 3,508600; 4,516600; 9,793200; 5,708400; 4,860800; 
407,648000; 895,755300; 178,233100; 3,632500; 4,481800; 9,792200; 5,778500; 4,935900; 
417,199500; 870,529400; 174,401100; 3,555200; 4,458000; 9,434300; 5,637300; 5,111100; 
402,952000; 880,511200; 181,133300; 3,691000; 4,554400; 9,566100; 5,824100; 4,807100; 
406,568600; 877,967600; 178,284400; 3,638300; 4,632400; 9,568500; 5,760800; 4,750400; 
413,151500; 876,425300; 175,626700; 3,488900; 4,481200; 9,476900; 5,668600; 4,864100; 
405,962400; 879,265600; 174,427500; 3,684800; 4,398400; 9,327700; 5,755900; 4,720600; 
406,702000; 878,215000; 175,664700; 3,541500; 4,573200; 9,556700; 5,724500; 4,911700; 
